"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"clang","tput","shuffled","btree8_bl_a64",1024,21.4981,21.4706,21.5759,3
"gcc","tput","shuffled","btree8_bl_a64",1024,19.0567,18.8416,19.1986,3
"gcc","lat","blocked","fusion16_w",1024,56.2164,55.1056,56.7078,3
"gcc","tput","blocked","fusion16_w",1024,47.8043,47.4731,48.201,3
"clang","lat","shuffled","fusion16_w",1024,56.0379,55.9921,56.337,3
"gcc","lat","shuffled","fusion16_w",1024,56.4819,56.3141,56.5567,3
"clang","tput","shuffled","fusion16_w",1024,45.578,45.5231,46.9025,3
"gcc","tput","shuffled","fusion16_w",1024,46.7285,46.1304,47.9172,3
"gcc","lat","blocked","fusion8",1024,47.1054,46.2173,47.2122,3
"gcc","tput","blocked","fusion8",1024,42.9291,42.7933,43.0511,3
"clang","lat","shuffled","fusion8",1024,49.9832,49.971,50.3372,3
"gcc","lat","shuffled","fusion8",1024,48.2483,48.0896,49.0692,3
"clang","tput","shuffled","fusion8",1024,46.5485,46.344,47.0718,3
"gcc","tput","shuffled","fusion8",1024,44.9722,43.0298,45.5536,3
"gcc","lat","blocked","fusion8_bf",1024,54.3243,52.6154,55.1559,3
"gcc","tput","blocked","fusion8_bf",1024,49.2538,49.2035,49.7253,3
"clang","lat","shuffled","fusion8_bf",1024,54.1351,53.7567,54.3106,3
"gcc","lat","shuffled","fusion8_bf",1024,55.0644,54.5654,55.2841,3
"clang","tput","shuffled","fusion8_bf",1024,51.033,50.4791,51.1124,3
"gcc","tput","shuffled","fusion8_bf",1024,51.9348,50.3189,52.2156,3
"gcc","lat","blocked","fusion8_c",1024,53.2578,51.5656,53.8986,3
"gcc","tput","blocked","fusion8_c",1024,51.3016,51.1139,51.7181,3
"clang","lat","shuffled","fusion8_c",1024,51.7609,51.6998,52.0676,3
"gcc","lat","shuffled","fusion8_c",1024,52.8412,52.3132,53.2227,3
"clang","tput","shuffled","fusion8_c",1024,49.1043,48.4009,49.1516,3
"gcc","tput","shuffled","fusion8_c",1024,49.8535,49.1318,51.0651,3
"gcc","lat","blocked","sorted_array",1024,15.7837,15.4694,15.8005,3
"gcc","tput","blocked","sorted_array",1024,5.8044,5.7678,5.8319,3
"clang","lat","shuffled","sorted_array",1024,33.8181,33.6945,34.1309,3
"gcc","lat","shuffled","sorted_array",1024,15.802,15.7623,15.8173,3
"clang","tput","shuffled","sorted_array",1024,34.314,34.079,34.7153,3
"gcc","tput","shuffled","sorted_array",1024,5.8167,5.7007,5.8365,3
"gcc","lat","blocked","btree16_bl_a64",2048,21.5256,21.2418,22.1939,3
"gcc","tput","blocked","btree16_bl_a64",2048,9.2026,9.1721,9.3445,3
"clang","lat","shuffled","btree16_bl_a64",2048,23.0057,22.9996,23.0362,3
"gcc","lat","shuffled","btree16_bl_a64",2048,21.7728,21.4676,21.7865,3
"clang","tput","shuffled","btree16_bl_a64",2048,9.613,9.5734,9.729,3
"gcc","tput","shuffled","btree16_bl_a64",2048,9.3582,9.3552,9.3704,3
"gcc","lat","blocked","btree8",2048,30.6107,30.2139,30.7724,3
"gcc","tput","blocked","btree8",2048,30.4962,30.4428,30.7785,3
"clang","lat","shuffled","btree8",2048,34.4681,33.9996,35.1013,3
"gcc","lat","shuffled","btree8",2048,31.1951,31.102,31.3705,3
"clang","tput","shuffled","btree8",2048,33.0215,32.0297,33.2779,3
"gcc","tput","shuffled","btree8",2048,31.2759,30.867,31.3171,3
"gcc","lat","blocked","btree8_a64",2048,28.801,28.5706,29.2618,3
"gcc","tput","blocked","btree8_a64",2048,28.7354,28.6713,28.8635,3
"clang","lat","shuffled","btree8_a64",2048,33.2825,33.0978,33.4381,3
"gcc","lat","shuffled","btree8_a64",2048,29.4022,29.1519,29.5578,3
"clang","tput","shuffled","btree8_a64",2048,30.7709,30.7541,30.8777,3
"gcc","tput","shuffled","btree8_a64",2048,28.9963,28.6331,29.3243,3
"gcc","lat","blocked","btree8_bl",2048,29.0741,28.6255,29.1885,3
"gcc","tput","blocked","btree8_bl",2048,17.3309,17.0395,17.6453,3
"clang","lat","shuffled","btree8_bl",2048,32.5256,32.5012,32.8873,3
"gcc","lat","shuffled","btree8_bl",2048,29.5181,29.2114,29.9713,3
"clang","tput","shuffled","btree8_bl",2048,20.0867,19.4031,20.1553,3
"gcc","tput","shuffled","btree8_bl",2048,17.5613,17.4225,18.1107,3
"gcc","lat","blocked","btree8_bl_a64",2048,26.6968,26.3824,26.741,3
"gcc","tput","blocked","btree8_bl_a64",2048,15.7578,15.4526,15.9805,3
"clang","lat","shuffled","btree8_bl_a64",2048,29.8264,29.7928,29.8477,3
"gcc","lat","shuffled","btree8_bl_a64",2048,26.9867,26.7807,27.0401,3
"clang","tput","shuffled","btree8_bl_a64",2048,18.2068,17.9947,18.605,3
"gcc","tput","shuffled","btree8_bl_a64",2048,16.0202,15.9439,16.4597,3
"gcc","lat","blocked","fusion16_w",2048,59.1415,57.9025,59.285,3
