"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","lat","blocked","compact 128-B node vs 184-B node",4096,0.973244557927568,0.97067464362165,0.980334793645193
"gcc","tput","blocked","compact 128-B node vs 184-B node",4096,0.971555137686007,0.925876787483394,1.26655166343954
"clang","lat","shuffled","compact 128-B node vs 184-B node",4096,0.9520998807076,0.947662910290952,0.95443867221819
"gcc","lat","shuffled","compact 128-B node vs 184-B node",4096,0.959446271500743,0.956875438347038,0.960764677223675
"clang","tput","shuffled","compact 128-B node vs 184-B node",4096,0.947865976179237,0.94658737577185,0.950726102319756
"gcc","tput","shuffled","compact 128-B node vs 184-B node",4096,0.94548832969595,0.942848830178229,0.95246473241419
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",4096,1.84294018479793,1.83761281574604,1.84533406872884
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",4096,2.49186364121185,2.42569894582229,3.26445354856565
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",4096,1.62135197832682,1.61521418419787,1.62831680496154
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",4096,1.83102382461959,1.81949583508011,1.8378535598878
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",4096,2.94370173363781,2.9426798818052,2.95768941238985
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",4096,2.42825114126471,2.41455784267081,2.4440907681363
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",4096,2.26768601353244,2.26631861816029,2.28812769246905
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",4096,2.24825345480994,2.23067941497817,2.33262420985057
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",4096,1.88194762085234,1.87991159371547,1.88383917672426
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",4096,2.26703398384926,2.26420719851804,2.27378979001972
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",4096,4.04908693616357,4.02785182620737,4.07314112291351
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",4096,2.31571490692814,2.29121722855183,2.33296566345314
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",4096,0.955270607718871,0.95487322031707,0.962164201777856
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",4096,0.8495289927134,0.82826752747932,0.876259461362436
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",4096,0.934112265556362,0.923230173244198,0.936472417016926
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",4096,0.945653593002188,0.944895485103413,0.947246581492209
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",4096,0.816136199824279,0.811885944466784,0.819468305960105
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",4096,0.868160185112145,0.860371531678693,0.868291694656814
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",4096,2.26768601353244,2.26631861816029,2.28812769246905
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",4096,2.24825345480994,2.23067941497817,2.33262420985057
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",4096,1.88194762085234,1.87991159371547,1.88383917672426
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",4096,2.26703398384926,2.26420719851804,2.27378979001972
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",4096,4.04908693616357,4.02785182620737,4.07314112291351
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",4096,2.31571490692814,2.29121722855183,2.33296566345314
"gcc","lat","blocked","original fusion vs binary search",4096,3.00572089115322,2.98377893184587,3.01442461801475
"gcc","tput","blocked","original fusion vs binary search",4096,7.12665497770353,7.11463613386186,7.17365302542712
"clang","lat","shuffled","original fusion vs binary search",4096,1.34524483978463,1.34179311855335,1.37021515596647
