structure,n,levels_mean,levels_modal_share,lines_per_query,bytes_per_query,l0_mpq,l1_mpq,l2_mpq,l3_mpq,stlb_mpq
fusion8_bf,8388608,7.860,0.8602,26.93,476.0,18.984,16.727,11.556,5.255,3.164
fusion8_c,8388608,7.860,0.8602,15.72,303.1,10.385,9.052,6.171,0.364,2.890
fusion16_w,8388608,6.000,1.0000,25.72,368.0,16.689,14.729,9.500,3.420,2.646
sorted_array,16777216,0.000,1.0000,21.00,208.0,20.998,18.762,18.464,10.953,11.900
btree8,16777216,8.000,1.0000,18.50,412.7,12.650,11.178,7.608,1.160,3.023
btree8_bl,16777216,8.000,1.0000,18.93,635.3,13.115,11.644,8.096,1.699,3.023
btree8_a64,16777216,8.000,1.0000,16.00,412.7,10.714,9.349,6.499,0.545,3.010
btree8_bl_a64,16777216,8.000,1.0000,16.00,635.3,10.714,9.349,6.499,0.545,3.010
btree16_bl_a64,16777216,6.000,1.0000,22.70,862.9,14.440,12.678,8.060,1.836,2.494
fusion8,16777216,8.000,1.0000,27.24,484.0,19.683,17.302,12.279,6.455,3.293
fusion8_bf,16777216,8.000,1.0000,27.24,484.0,19.683,17.302,12.279,6.455,3.293
fusion8_c,16777216,8.000,1.0000,16.00,308.0,10.714,9.349,6.499,0.545,3.010
fusion16_w,16777216,6.000,1.0000,26.07,368.0,17.064,15.118,9.933,3.650,2.649
sorted_array,33554432,0.000,1.0000,22.00,216.0,21.999,19.854,19.711,13.617,13.606
btree8,33554432,8.000,1.0000,18.73,429.3,12.899,11.426,7.870,1.443,3.025
btree8_bl,33554432,8.000,1.0000,18.94,636.6,13.129,11.655,8.110,1.725,3.025
btree8_a64,33554432,8.000,1.0000,16.00,429.3,10.716,9.347,6.503,0.549,3.015
btree8_bl_a64,33554432,8.000,1.0000,16.00,636.6,10.716,9.347,6.503,0.549,3.015
btree16_bl_a64,33554432,6.562,0.5617,25.31,943.9,17.256,15.590,11.139,5.541,3.136
fusion8,33554432,8.000,1.0000,27.44,484.0,19.893,17.530,12.512,6.825,3.296
fusion8_bf,33554432,8.000,1.0000,27.44,484.0,19.893,17.530,12.512,6.825,3.296
fusion8_c,33554432,8.000,1.0000,16.00,308.0,10.716,9.347,6.503,0.549,3.015
fusion16_w,33554432,6.562,0.5617,28.51,404.6,19.702,17.757,12.766,7.258,3.185
