"compiler","mode","order","comparison","n","ratio","lo","hi"
"gcc","tput","blocked","branch-free rank vs original rank",512,1.08380583721364,1.07740134717535,1.11109566760313
"clang","lat","shuffled","branch-free rank vs original rank",512,1.0732662860419,1.0586652756244,1.08090278373851
"gcc","lat","shuffled","branch-free rank vs original rank",512,1.12424181879623,1.11267620043943,1.13892927250924
"clang","tput","shuffled","branch-free rank vs original rank",512,1.03587454777726,1.02791140100557,1.05292194523907
"gcc","tput","shuffled","branch-free rank vs original rank",512,1.08527540828761,1.07725472868959,1.09700544121539
"gcc","lat","blocked","compact 128-B node vs 184-B node",512,0.977286028201985,0.975779292507476,0.982288619584901
"gcc","tput","blocked","compact 128-B node vs 184-B node",512,0.984059049067171,0.981156029671269,1.01468220714231
"clang","lat","shuffled","compact 128-B node vs 184-B node",512,0.966792891849351,0.965173000567215,0.967258725071225
"gcc","lat","shuffled","compact 128-B node vs 184-B node",512,0.974154197200404,0.972605416389855,0.975405016911566
"clang","tput","shuffled","compact 128-B node vs 184-B node",512,0.963793259589883,0.962439849822854,0.964577649616163
"gcc","tput","shuffled","compact 128-B node vs 184-B node",512,0.995496130957046,0.98966876103033,1.00622725091659
"gcc","lat","blocked","equal footprint: compact fusion vs aligned B-tree",512,2.28408029276199,2.2208103043759,2.28797043541433
"gcc","tput","blocked","equal footprint: compact fusion vs aligned B-tree",512,4.71119659539663,4.47053050068332,4.96841628373568
"clang","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",512,2.0033813535775,1.95337035927454,2.00945145494144
"gcc","lat","shuffled","equal footprint: compact fusion vs aligned B-tree",512,2.28103239162711,2.20448612739351,2.28435014354362
"clang","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",512,4.18425073017299,3.9269232013981,4.2514445586388
"gcc","tput","shuffled","equal footprint: compact fusion vs aligned B-tree",512,4.79601777151272,4.52491372004765,4.81329495162129
"gcc","lat","blocked","Exp 4: 16-key fusion vs 16-key B-tree",512,2.4992050086929,2.49207524593219,2.53321641529288
"gcc","tput","blocked","Exp 4: 16-key fusion vs 16-key B-tree",512,2.95214835490146,2.91958859280037,2.96073427901743
"clang","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",512,2.29689816736848,2.27868024800709,2.31718836007716
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",512,2.45647248008187,2.44042850892166,2.4892913945884
"clang","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",512,2.60668769474383,2.59014859238321,2.61851779144212
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 16-key B-tree",512,2.83690884331397,2.83465447222914,2.85598163188376
"gcc","lat","blocked","Exp 4: 16-key fusion vs 8-key fusion",512,1.13281874433099,1.11649385497068,1.17978130658866
"gcc","tput","blocked","Exp 4: 16-key fusion vs 8-key fusion",512,1.10721659295603,1.09937798928449,1.12718849648036
"clang","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",512,1.14228927963698,1.11499732905983,1.17372539179232
"gcc","lat","shuffled","Exp 4: 16-key fusion vs 8-key fusion",512,1.12692728138476,1.10572425292904,1.16675363724762
"clang","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",512,1.05633999611877,1.05408178334642,1.09327375601502
"gcc","tput","shuffled","Exp 4: 16-key fusion vs 8-key fusion",512,1.10468621176895,1.09957626011672,1.11361945260014
"gcc","lat","blocked","Exp 4: 16-key fusion vs best B-tree",512,2.65619061155946,2.60943218007546,2.66731226478971
"gcc","tput","blocked","Exp 4: 16-key fusion vs best B-tree",512,5.27886053139417,5.12076034289974,5.42151317066856
"clang","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",512,2.37101643111787,2.31718836007716,2.37147005277349
"gcc","lat","shuffled","Exp 4: 16-key fusion vs best B-tree",512,2.63537462621024,2.59287632610642,2.64453823107985
"clang","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",512,4.58603684565266,4.46074846003646,4.64594039054471
"gcc","tput","shuffled","Exp 4: 16-key fusion vs best B-tree",512,5.28427406571389,5.09163483622161,5.29744628900104
