"compiler","mode","order","structure","n","median_ns","min_ns","max_ns","sessions"
"gcc","tput","blocked","fusion8_bf",1024,49.2554,49.1211,50.8423,3
"clang","lat","shuffled","fusion8_bf",1024,54.0207,53.273,54.2175,3
"gcc","lat","shuffled","fusion8_bf",1024,54.1199,54.0237,54.2786,3
"clang","tput","shuffled","fusion8_bf",1024,50.6012,50.1907,50.9537,3
"gcc","tput","shuffled","fusion8_bf",1024,51.4984,51.4023,51.738,3
"gcc","lat","blocked","fusion8_c",1024,52.2675,51.8616,52.5085,3
"gcc","tput","blocked","fusion8_c",1024,48.0804,47.5006,56.6483,3
"clang","lat","shuffled","fusion8_c",1024,51.2802,51.1383,51.8799,3
"gcc","lat","shuffled","fusion8_c",1024,52.2476,52.1622,52.5253,3
"clang","tput","shuffled","fusion8_c",1024,48.4558,47.8745,48.6984,3
"gcc","tput","shuffled","fusion8_c",1024,48.5947,48.2071,48.7701,3
"gcc","lat","blocked","sorted_array",1024,15.8463,15.8371,15.8615,3
"gcc","tput","blocked","sorted_array",1024,5.7846,5.7678,5.8487,3
"clang","lat","shuffled","sorted_array",1024,34.5947,34.14,34.7183,3
"gcc","lat","shuffled","sorted_array",1024,15.8463,15.8371,15.8524,3
"clang","tput","shuffled","sorted_array",1024,35.1776,34.3796,35.3424,3
"gcc","tput","shuffled","sorted_array",1024,5.7709,5.6763,5.7938,3
"gcc","lat","blocked","btree16_bl_a64",2048,26.3321,26.3214,26.4145,3
"gcc","tput","blocked","btree16_bl_a64",2048,21.8719,21.756,22.374,3
"clang","lat","shuffled","btree16_bl_a64",2048,31.0593,30.8838,31.5216,3
"gcc","lat","shuffled","btree16_bl_a64",2048,26.4557,26.4267,26.5366,3
"clang","tput","shuffled","btree16_bl_a64",2048,13.2812,13.1027,13.5452,3
"gcc","tput","shuffled","btree16_bl_a64",2048,21.8338,21.5973,21.9284,3
"gcc","lat","blocked","btree8",2048,30.304,29.7287,30.3802,3
"gcc","tput","blocked","btree8",2048,30.4794,30.4123,39.4745,3
"clang","lat","shuffled","btree8",2048,32.9498,31.8695,33.3969,3
"gcc","lat","shuffled","btree8",2048,30.7388,30.5847,30.806,3
"clang","tput","shuffled","btree8",2048,32.8293,32.2662,32.9834,3
"gcc","tput","shuffled","btree8",2048,31.0852,30.6259,31.1066,3
"gcc","lat","blocked","btree8_a64",2048,29.4678,29.4281,29.8538,3
"gcc","tput","blocked","btree8_a64",2048,29.5349,29.306,32.3959,3
"clang","lat","shuffled","btree8_a64",2048,31.1523,31.1401,31.5369,3
"gcc","lat","shuffled","btree8_a64",2048,30.1376,29.9973,30.162,3
"clang","tput","shuffled","btree8_a64",2048,33.5312,33.02,33.7555,3
"gcc","tput","shuffled","btree8_a64",2048,29.9835,29.8141,30.0858,3
"gcc","lat","blocked","btree8_bl",2048,35.8582,35.8353,35.8795,3
"gcc","tput","blocked","btree8_bl",2048,24.3561,24.3225,24.3576,3
"clang","lat","shuffled","btree8_bl",2048,39.7415,39.0289,39.8422,3
